badid;bad;adresse1;adresse2;plz;ort;kanton;beckenid;becken;typ;Latitude;Longitude;returned address;accuracy;status code
119;Badi;Strandbad Seefeld;Seestrasse;8853;Lachen;SZ;277;Kinderbecken;Freibad;47.197834;8.854633;Seestrasse, 8853 Lachen, Schweiz;5;200
13;Schwimm- und Sonnenbad;Schwimmbad Langenthal;Rumiweg 63;4900;Langenthal;BE;39;Schwimmbecken;Freibad;47.203633;7.786243;Rumiweg 63, 4900 Langenthal, Schweiz;9;200
219;Freibad;Schützenweg 235 / Moos;Schützenweg 235;3550;Langnau i.E.;BE;462;Schwimmbecken (50m);Freibad;46.936297;7.793635;Schützenweg 235, 3550 Langnau im Emmental, Schweiz;9;200
104;Schwimmbad;Schwimmbad Laufenburg;Giessenweg;5080;Laufenburg;AG;242;Sprungbecken;Freibad;47.562846;8.066527;Giessenweg, 5080 Laufenburg, Schweiz;5;200
205;Regio Badi Sense;Gillenauweg 40;Gillenauweg 40;3177;Laupen;BE;421;Schwimmerbecken (50m);Freibad;46.903301;7.232291;Gillenauweg 40, 3177 Laupen, Schweiz;9;200
117;Schwimmbad bei der Zuben;Schwimmbad;Bei der Zuben;3822;Lauterbrunnen;BE;272;Schwimmbecken;Freibad;46.599464;7.907922;Zuben, 3822 Lauterbrunnen, Schweiz;5;200
140;Wallbachbadi;;Wallbachbadi;3775;Lenk;BE;316;Schwimmbecken;Freibad;46.457194;7.44291;Lenk, Schweiz;3;200
78;Lido Heidsee;;Lido;7078;Lenzerheide;GR;196;Heidsee;See;46.728665;9.557472;Lenzerheide, 7078 Vaz/Obervaz, Schweiz;3;200
107;Lido di Lugano;;Lido;6900;Lugano;TI;250;Schwimmbecken (50m);See;46.005167;8.963187;Via Lido, 6900 Lugano, Schweiz;5;200
47;Reuss;;Reuss;6000;Luzern;LU;132;Reuss;Fluss;47.050971;8.303125;Reusssteg, 6003 Luzern, Schweiz;5;200
66;Strandbad Lido;Lidostrasse 6a;Lidostrasse 6a;6006;Luzern;LU;179;Bassin;Freibad;47.050131;8.336242;Lidostrasse 6A, 6006 Luzern, Schweiz;9;200
135;Strandbad Tribschen;Strandbad Tribschen;Warteggstrasse;6005;Luzern;LU;304;Seebad;See;47.040095;8.325438;Warteggstrasse, 6005 Luzern, Schweiz;5;200
132;Hallenbad;Hallenbad Allmend;Zihlmattweg 46;6005;Luzern;LU;299;Schwimmerbecken;Hallenbad;47.03161;8.304859;Zihlmattweg 46, 6005 Luzern, Schweiz;9;200
68;Parkschwimmbad;Parkschwimmbad;Werdtstrasse 9;3250;Lyss;BE;181;Schwimmbecken;Freibad;47.080692;7.295705;Werdtstrasse 9, 3250 Lyss, Schweiz;9;200
48;Reuss;;Reuss;5507;Mellingen;AG;133;Reuss;Fluss;47.416802;8.276357;Reussweg, 5507 Mellingen, Schweiz;5;200
